,date,desc,temp,templow,baro,wind,wd,hum
0,2017-01-01 00:00:00,Passing clouds.,5,0,1019,6,0,80
1,2017-01-01 06:00:00,Passing clouds.,5,0,1022,7,0,78
2,2017-01-01 12:00:00,Passing clouds.,6,4,1025,14,10,74
3,2017-01-01 18:00:00,Clear.,4,1,1030,11,0,75
4,2017-01-02 00:00:00,Clear.,0,-3,1032,8,240,84
5,2017-01-02 06:00:00,Passing clouds.,2,-2,1031,13,240,83
6,2017-01-02 12:00:00,Passing clouds.,5,2,1029,13,270,80
7,2017-01-02 18:00:00,Passing clouds.,3,1,1027,16,240,90
8,2017-01-03 00:00:00,Clear.,6,3,1024,20,240,86
9,2017-01-03 06:00:00,Scattered clouds.,8,6,1022,25,250,87
10,2017-01-03 12:00:00,Scattered clouds.,8,8,1019,28,250,82
11,2017-01-03 18:00:00,Passing clouds.,8,7,1020,19,250,86
12,2017-01-04 00:00:00,Clear.,6,1,1022,10,10,79
13,2017-01-04 06:00:00,Passing clouds.,5,4,1026,13,350,59
14,2017-01-04 12:00:00,Scattered clouds.,6,2,1029,8,0,60
15,2017-01-04 18:00:00,Passing clouds.,2,-1,1032,5,0,80
16,2017-01-05 00:00:00,Clear.,-1,-5,1033,7,240,89
17,2017-01-05 06:00:00,Sunny.,0,-6,1034,3,270,90
18,2017-01-05 12:00:00,Sunny.,2,-2,1032,4,0,77
19,2017-01-05 18:00:00,Passing clouds.,5,1,1030,11,230,77
20,2017-01-06 00:00:00,Overcast.,7,5,1027,15,240,86
21,2017-01-06 06:00:00,Passing clouds.,9,7,1026,17,250,87
22,2017-01-06 12:00:00,Scattered clouds.,11,9,1025,16,250,88
23,2017-01-06 18:00:00,Passing clouds.,10,7,1027,8,250,95
24,2017-01-07 00:00:00,Passing clouds.,8,3,1029,5,0,95
25,2017-01-07 06:00:00,Partly sunny.,9,8,1030,10,270,93
26,2017-01-07 12:00:00,Partly sunny.,9,9,1030,14,250,92
27,2017-01-07 18:00:00,Passing clouds.,9,7,1030,11,250,93
28,2017-01-08 00:00:00,Passing clouds.,9,6,1028,16,250,92
29,2017-01-08 06:00:00,Partly sunny.,9,8,1029,14,250,88
30,2017-01-08 12:00:00,Partly sunny.,10,9,1027,10,250,87
31,2017-01-08 18:00:00,Passing clouds.,10,9,1023,21,220,87
32,2017-01-09 00:00:00,Overcast.,11,9,1014,33,220,84
33,2017-01-09 06:00:00,Scattered clouds.,9,6,1007,26,240,86
34,2017-01-09 12:00:00,Scattered clouds.,7,4,1004,29,240,84
35,2017-01-09 18:00:00,Light rain. Passing clouds.,6,4,999,29,230,88
36,2017-01-10 00:00:00,Clear.,6,4,1000,24,250,85
37,2017-01-10 06:00:00,Scattered clouds.,9,6,1002,22,250,83
38,2017-01-10 12:00:00,Partly sunny.,9,8,1002,25,260,81
39,2017-01-10 18:00:00,Passing clouds.,9,7,1000,30,250,81
40,2017-01-11 00:00:00,Passing clouds.,11,6,995,40,260,74
41,2017-01-11 06:00:00,Scattered clouds.,6,5,998,31,270,71
42,2017-01-11 12:00:00,Scattered clouds.,6,2,1002,27,270,71
43,2017-01-11 18:00:00,Passing clouds.,3,2,1003,27,260,83
44,2017-01-12 00:00:00,Light rain. Passing clouds.,2,1,1002,23,250,86
45,2017-01-12 06:00:00,Scattered clouds.,1,1,999,20,240,86
46,2017-01-12 12:00:00,Passing clouds.,2,-1,995,19,240,86
47,2017-01-12 18:00:00,Clear.,0,-1,997,11,250,89
48,2017-01-13 00:00:00,Clear.,4,-1,999,24,280,74
49,2017-01-13 06:00:00,Partly sunny.,4,3,1007,13,300,65
50,2017-01-13 12:00:00,Scattered clouds.,4,-2,1013,12,320,71
51,2017-01-13 18:00:00,Clear.,0,-3,1014,13,240,82
52,2017-01-14 00:00:00,Clear.,0,-2,1014,9,240,89
53,2017-01-14 06:00:00,Sunny.,4,-2,1017,9,250,86
54,2017-01-14 12:00:00,Passing clouds.,5,-1,1020,9,260,76
55,2017-01-14 18:00:00,Light rain. Overcast.,4,1,1020,9,250,91
56,2017-01-15 00:00:00,Light rain. Passing clouds.,7,4,1017,13,250,94
57,2017-01-15 06:00:00,Scattered clouds.,10,8,1018,13,280,92
58,2017-01-15 12:00:00,Passing clouds.,10,9,1021,9,250,92
59,2017-01-15 18:00:00,Light rain. Overcast.,9,8,1023,9,250,96
60,2017-01-16 00:00:00,Light rain. Passing clouds.,9,9,1024,11,250,94
61,2017-01-16 06:00:00,Passing clouds.,9,7,1026,13,250,93
62,2017-01-16 12:00:00,Passing clouds.,10,6,1027,11,250,91
63,2017-01-16 18:00:00,Passing clouds.,9,6,1028,9,270,95
64,2017-01-17 00:00:00,Passing clouds.,10,9,1029,12,250,94
65,2017-01-17 06:00:00,Scattered clouds.,11,8,1031,14,240,94
66,2017-01-17 12:00:00,Partly sunny.,11,10,1032,15,240,90
67,2017-01-17 18:00:00,Passing clouds.,10,8,1033,18,240,89
68,2017-01-18 00:00:00,Mostly cloudy.,9,8,1033,17,250,85
69,2017-01-18 06:00:00,Partly sunny.,9,8,1034,17,240,83
70,2017-01-18 12:00:00,Partly sunny.,8,8,1034,20,250,82
71,2017-01-18 18:00:00,Overcast.,8,8,1035,15,260,81
72,2017-01-19 00:00:00,Overcast.,8,7,1035,16,250,78
73,2017-01-19 06:00:00,Partly sunny.,9,8,1036,14,250,75
74,2017-01-19 12:00:00,Partly sunny.,9,7,1035,14,260,76
75,2017-01-19 18:00:00,Passing clouds.,7,7,1036,12,250,81
76,2017-01-20 00:00:00,Low clouds.,7,5,1035,10,250,87
